,mid,f1,money
0,100955.0,0.0,0.0
1,100870.0,12.454212454237187,100870.0
2,100765.0,34.92648987157925,100765.0
3,100760.0,47.701502813439845,100760.0
4,100785.0,49.182054009269066,100785.0
5,100755.0,51.434783236288474,100755.0
6,100745.0,50.980732915364,100745.0
7,100740.0,47.987610353180926,100740.0
8,100725.0,44.90490281984423,100725.0
9,100725.0,39.6170056368897,100725.0
10,100715.0,34.59628040261859,100715.0
11,100705.0,29.92493216828028,100705.0
12,100705.0,24.18261483299301,100705.0
13,100675.0,22.41425229138497,100675.0
14,100655.0,21.70673104365224,100655.0
15,100725.0,8.457692017037232,100725.0
16,100740.0,-3.887388993567896,0.0
17,100760.0,-15.714309023202901,-100760.0
18,100735.0,-19.93550472303734,-100735.0
19,100750.0,-24.969844746330637,-100750.0
20,100750.0,-27.97425934520456,-100750.0
21,100725.0,-25.8055777761505,-100725.0
22,100715.0,-22.644097426934593,-100715.0
23,100725.0,-21.903488037598933,-100725.0
24,100705.0,-18.26573922470044,-100705.0
25,100695.0,-14.428505109014232,-100695.0
26,100765.0,-22.35905204548994,-100765.0
27,100725.0,-21.050742520135437,-100725.0
28,100745.0,-22.762035997552786,-100745.0
29,100730.0,-21.082428652405923,-100730.0
30,100715.0,-17.314413624344695,-100715.0
31,100705.0,-13.13052923365747,-100705.0
32,100700.0,-9.612266732814803,-100700.0
33,100715.0,-9.607867598937531,-100715.0
34,100660.0,-1.5226944092375874,0.0
35,100660.0,3.127963013275341,0.0
36,100690.0,0.969411085290659,0.0
37,100695.0,-1.675945891228828,0.0
38,100645.0,3.581316451277864,0.0
39,100690.0,-0.4274933396839984,0.0
40,100660.0,0.9687528365765132,0.0
41,100645.0,3.473948689350678,0.0
42,100660.0,2.132088475586194,0.0
43,100665.0,-0.08666287830639874,0.0
44,100655.0,-0.5354720775415984,0.0
45,100640.0,0.8829014332112379,0.0
46,100645.0,0.4606136753362051,0.0
47,100625.0,2.5702228327640455,0.0
48,100615.0,4.6784868064178795,0.0
49,100640.0,1.530102935698551,0.0
50,100645.0,-1.8126400639262243,0.0
51,100645.0,-4.357140822124421,0.0
52,100625.0,-3.3206729133044846,0.0
53,100640.0,-5.217143163318511,-100640.0
54,100625.0,-4.437655508111355,0.0
